% f evaluations | g evaluations | best noise-free fitness - Fopt (-5.494000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
40 0 +6.810559069e+03 +6.858639069e+03 +6.858639069e+03 -1.0696e+00 -1.6830e+00
49 0 +3.911794969e+03 +3.959874969e+03 +3.959874969e+03 -4.3577e+00 +1.4505e+00
73 0 +1.129579283e+01 +5.937579283e+01 +5.937579283e+01 -1.5625e+00 -1.1260e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt (3.058000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +5.445616379e+06 +5.445646959e+06 +5.445646959e+06 -4.8733e-01 +5.6701e-01
4 0 +5.004627751e+06 +5.004658331e+06 +5.004658331e+06 -5.8208e-01 +5.3381e-03
8 0 +4.731879155e+06 +4.731909735e+06 +4.731909735e+06 -6.1196e-01 +2.0221e-01
9 0 +1.837921753e+06 +1.837952333e+06 +1.837952333e+06 -1.5100e+00 -2.2085e-01
13 0 +1.523351588e+05 +1.523657388e+05 +1.523657388e+05 -3.1623e+00 -8.7530e-01
20 0 +8.587926239e+04 +8.590984239e+04 +8.590984239e+04 -2.5079e+00 -1.0723e+00
28 0 +3.186105798e+04 +3.189163798e+04 +3.189163798e+04 -2.5842e+00 -4.3559e-01
52 0 +3.651882094e+03 +3.682462094e+03 +3.682462094e+03 -2.6568e+00 +4.3277e-01
114 0 +2.916002740e+03 +2.946582740e+03 +2.946582740e+03 -2.5707e+00 +4.3781e+00
126 0 +6.190773168e+02 +6.496573168e+02 +6.496573168e+02 -2.6559e+00 +1.1879e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt (1.000000000000e+03) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +1.805194943e+06 +1.806194943e+06 +1.806194943e+06 -1.8656e+00 -1.6473e-01
14 0 +3.466304108e+05 +3.476304108e+05 +3.476304108e+05 -2.2903e+00 +1.8869e+00
15 0 +2.363299186e+05 +2.373299186e+05 +2.373299186e+05 -2.1096e+00 +3.8581e+00
39 0 +2.261296571e+05 +2.271296571e+05 +2.271296571e+05 -2.5587e+00 +2.6960e-01
41 0 +2.063852268e+05 +2.073852268e+05 +2.073852268e+05 -2.4092e+00 +1.5961e+00
81 0 +5.921294583e+04 +6.021294583e+04 +6.021294583e+04 -3.3373e+00 -1.0339e-01
127 0 +1.433508539e+03 +2.433508539e+03 +2.433508539e+03 -2.8694e+00 +1.9884e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt (-4.236000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +3.252730376e+06 +3.252688016e+06 +3.252688016e+06 -1.3637e+00 -6.4843e-01
2 0 +2.114544692e+06 +2.114502332e+06 +2.114502332e+06 -5.4364e-01 +7.3210e-01
3 0 +5.029257223e+05 +5.028833623e+05 +5.028833623e+05 -3.1667e-03 -2.1116e-01
7 0 +1.663673189e+05 +1.663249589e+05 +1.663249589e+05 +1.1823e+00 -2.1894e-01
8 0 +2.582089479e+04 +2.577853479e+04 +2.577853479e+04 +1.3093e+00 +9.3309e-01
12 0 +2.151678067e+04 +2.147442067e+04 +2.147442067e+04 +8.1950e-01 -4.9735e-01
20 0 +5.492076005e+03 +5.449716005e+03 +5.449716005e+03 +5.7833e-01 -5.3357e-01
41 0 +9.751190534e+02 +9.327590534e+02 +9.327590534e+02 +5.5656e-01 -7.4087e-01
108 0 +6.286836775e+00 -3.607316323e+01 -3.607316323e+01 +1.2968e+00 +1.3717e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt (-7.187000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +4.926328166e+03 +4.854458166e+03 +4.854458166e+03 -1.7741e-01 -1.5921e-01
16 0 +2.062353979e+03 +1.990483979e+03 +1.990483979e+03 -1.4597e+00 +3.1273e+00
143 0 +1.547807085e+03 +1.475937085e+03 +1.475937085e+03 +9.4936e-01 -2.6740e+00
166 0 +6.447324057e+01 -7.396759434e+00 -7.396759434e+00 +1.1540e+00 -3.0694e+00
181 0 +1.584571673e+00 -7.028542833e+01 -7.028542833e+01 -1.7860e+00 +3.7719e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt (-1.650000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +9.233402539e+05 +9.233237539e+05 +9.233237539e+05 -1.0981e+00 +6.2364e-01
6 0 +2.887927963e+05 +2.887762963e+05 +2.887762963e+05 -1.7541e+00 +2.0697e+00
7 0 +2.626772669e+04 +2.625122669e+04 +2.625122669e+04 +1.0960e+00 +2.1868e+00
48 0 +4.239880743e+02 +4.074880743e+02 +4.074880743e+02 +2.3717e+00 +2.2921e+00
181 0 +3.586155449e+01 +1.936155449e+01 +1.936155449e+01 -8.7814e-01 +1.6568e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt (1.000000000000e+03) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +2.726399125e+05 +2.736399125e+05 +2.736399125e+05 -5.1398e-01 +1.6904e+00
2 0 +2.428011618e+04 +2.528011618e+04 +2.528011618e+04 +9.7601e-01 +5.7588e-01
142 0 +1.376960839e+04 +1.476960839e+04 +1.476960839e+04 +1.0061e+00 +4.3529e-01
155 0 +3.425556603e+02 +1.342555660e+03 +1.342555660e+03 -2.8355e-01 +2.3916e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt (-1.000000000000e+03) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +4.092413823e+05 +4.082413823e+05 +4.082413823e+05 -2.4160e+00 +3.7450e-01
13 0 +1.070227163e+05 +1.060227163e+05 +1.060227163e+05 -2.7427e+00 -8.4308e-01
15 0 +7.065073516e+04 +6.965073516e+04 +6.965073516e+04 -3.1413e+00 -7.7796e-02
36 0 +1.090082745e+03 +9.008274475e+01 +9.008274475e+01 -2.1782e+00 -1.0875e+00
89 0 +8.790144792e+02 -1.209855208e+02 -1.209855208e+02 -1.0416e+00 -3.0936e+00
129 0 +6.852939689e+01 -9.314706031e+02 -9.314706031e+02 -1.1611e+00 -2.8244e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt (-1.527400000000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +2.249043053e+07 +2.249027779e+07 +2.249027779e+07 +1.1228e+00 +1.0290e-02
2 0 +2.052629116e+07 +2.052613842e+07 +2.052613842e+07 +1.1376e-01 -3.6973e-01
4 0 +1.712519315e+07 +1.712504041e+07 +1.712504041e+07 +2.5558e-01 +2.0649e-01
7 0 +2.800131190e+06 +2.799978450e+06 +2.799978450e+06 -3.9359e+00 +2.4545e-01
30 0 +1.407999117e+04 +1.392725117e+04 +1.392725117e+04 -2.4529e+00 +3.2343e+00
31 0 +9.591188458e+00 -1.431488115e+02 -1.431488115e+02 -1.0915e+00 +4.2692e+00
