% f evaluations | g evaluations | best noise-free fitness - Fopt (1.026100000000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
160 0 +3.616136982e+01 -9.742863018e+01 -9.742863018e+01 +4.8365e-02 +1.7378e+00 -1.1303e+00 -2.9071e-01 -1.8072e+00
180 0 +3.377020300e+01 -9.981979700e+01 -9.981979700e+01 -2.3256e+00 +1.9734e+00 -2.3009e+00 -4.5764e+00 -1.5213e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt (-3.085000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +7.085135436e+01 +4.000135436e+01 +4.000135436e+01 +3.9943e-01 -2.8645e+00 +1.2895e+00 -1.3766e-01 -6.4382e-01
9 0 +6.789937655e+01 +3.704937655e+01 +3.704937655e+01 -1.5462e+00 +2.9466e-02 -7.8496e-01 +1.2195e+00 -1.3493e+00
13 0 +6.046205742e+01 +2.961205742e+01 +2.961205742e+01 +4.6004e-01 -4.7735e-01 -7.3611e-01 +3.3957e-01 -3.3369e+00
14 0 +4.079343190e+01 +9.943431903e+00 +9.943431903e+00 -1.4018e+00 -6.0770e-02 -2.7819e-01 -7.0257e-01 -1.3547e+00
376 0 +3.753430861e+01 +6.684308610e+00 +6.684308610e+00 -1.5884e+00 -7.3791e-01 +3.3334e-01 +1.0185e+00 -2.6114e-01
% f evaluations | g evaluations | best noise-free fitness - Fopt (-9.200000000000e+00) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +5.045660163e+01 +4.125660163e+01 +4.125660163e+01 +8.0447e-01 +6.7429e-02 -1.4597e+00 -4.0016e-02 -5.3076e-02
3 0 +4.619000895e+01 +3.699000895e+01 +3.699000895e+01 +7.2709e-02 -7.9520e-01 -8.4584e-01 +2.7119e-01 -2.0017e+00
106 0 +3.739907597e+01 +2.819907597e+01 +2.819907597e+01 -9.1134e-01 -2.4858e+00 -1.6236e+00 +6.9142e-01 -1.1405e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt (-2.037600000000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +6.406576359e+01 -1.396942364e+02 -1.396942364e+02 +1.0486e+00 +1.2064e+00 -7.5280e-01 -6.8513e-01 -7.1409e-02
8 0 +3.114020528e+01 -1.726197947e+02 -1.726197947e+02 -9.7580e-01 -7.3692e-01 -9.0271e-01 +1.2124e+00 -1.1395e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt (3.399000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +7.898097582e+01 +1.129709758e+02 +1.129709758e+02 +2.4854e-01 +1.3685e+00 -1.1366e+00 +2.4934e+00 +6.1479e-01
3 0 +5.928617705e+01 +9.327617705e+01 +9.327617705e+01 -8.7754e-01 +8.2040e-01 +1.7274e-01 +1.0290e+00 +1.5738e+00
6 0 +3.773712336e+01 +7.172712336e+01 +7.172712336e+01 -6.7433e-01 -3.0762e-01 -1.3652e+00 +3.4773e-01 +2.7559e-01
195 0 +3.036960356e+01 +6.435960356e+01 +6.435960356e+01 -1.6068e+00 +4.1973e-01 -1.5438e+00 +3.5139e-01 +6.0263e-01
337 0 +2.891043022e+01 +6.290043022e+01 +6.290043022e+01 +1.2734e+00 +1.2031e+00 +1.7474e+00 -6.2713e-01 -5.8348e-01
% f evaluations | g evaluations | best noise-free fitness - Fopt (-1.000000000000e+03) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +9.638449932e+01 -9.036155007e+02 -9.036155007e+02 +4.7337e-01 -1.3474e+00 +8.4233e-01 -9.2848e-01 -2.1778e+00
2 0 +9.052437472e+01 -9.094756253e+02 -9.094756253e+02 +5.0311e-01 +4.2285e-01 -2.5004e+00 +3.1809e-01 -1.4102e+00
4 0 +8.123660086e+01 -9.187633991e+02 -9.187633991e+02 -1.8433e+00 +3.2357e-01 +1.2025e-01 +9.2430e-01 +1.6191e+00
5 0 +5.094003902e+01 -9.490599610e+02 -9.490599610e+02 -1.0383e-01 -2.4796e-01 -1.0694e+00 +9.4934e-02 +2.7927e-01
77 0 +4.339643789e+01 -9.566035621e+02 -9.566035621e+02 +3.2433e+00 -1.8708e+00 +6.6738e-01 +1.3323e+00 -2.5148e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt (-1.000000000000e+03) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +1.209463471e+02 -8.790536529e+02 -8.790536529e+02 +1.0408e+00 -2.6278e-01 +3.9088e-01 -1.0284e+00 +8.9141e-01
2 0 +9.521899508e+01 -9.047810049e+02 -9.047810049e+02 -1.4028e+00 +2.4854e-01 +1.3204e+00 -1.0130e+00 -3.1127e-02
