% f evaluations | g evaluations | best noise-free fitness - Fopt (3.590000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
349 0 +3.622549185e+04 +3.625686185e+04 +3.625686185e+04 +2.5638e-01 +1.3078e-01 -3.5078e+00 +1.9962e+00 -3.3394e+00 -1.7853e+00 +1.2152e+00 +1.0321e+00 +1.7303e-01 +3.0877e+00
354 0 +1.057581338e+04 +1.060718338e+04 +1.060718338e+04 +1.1477e+00 +1.3958e+00 -4.5678e+00 +1.6635e+00 -4.1526e+00 -2.7809e+00 +6.8408e-01 +1.3513e+00 -9.5005e-01 +1.4070e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt (-1.000000000000e+03) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +4.454810738e+05 +4.444810738e+05 +4.444810738e+05 +7.0940e-02 +5.9754e-01 +1.3245e+00 -1.5890e-01 +1.4441e+00 -1.0451e+00 -1.1960e+00 +2.0304e+00 -4.2930e-02 +1.2990e+00
2 0 +2.279133639e+05 +2.269133639e+05 +2.269133639e+05 -3.0394e-01 +8.7031e-01 +3.5635e-01 +7.6457e-01 -3.1765e-01 -1.7069e-01 +2.0241e+00 +2.4241e-01 -1.8804e+00 +4.8667e-01
4 0 +2.008552200e+05 +1.998552200e+05 +1.998552200e+05 -7.4662e-01 -1.5442e+00 -1.6975e-01 +1.1121e+00 +1.4099e-01 +1.1079e+00 +1.1968e+00 -1.4922e+00 -1.3124e-01 -2.8455e-01
5 0 +1.703408220e+05 +1.693408220e+05 +1.693408220e+05 -7.0676e-01 -1.2710e+00 +1.5037e+00 +5.8298e-02 -2.4026e-01 -1.5671e-01 -3.4306e-01 +4.0762e-01 -4.0463e-01 +1.3631e+00
59 0 +1.164483391e+05 +1.154483391e+05 +1.154483391e+05 -7.8654e-01 -2.2612e+00 -1.5433e+00 +4.0677e-02 -3.6968e+00 -3.9779e+00 -4.5445e-01 +1.7081e+00 -2.5283e+00 +3.2298e+00
65 0 +7.658484729e+04 +7.558484729e+04 +7.558484729e+04 -7.5753e-01 -2.7696e+00 -1.5878e+00 +1.5044e+00 -2.4547e+00 -4.5792e+00 +1.7893e+00 +1.4630e+00 -2.4716e+00 +3.8954e+00
307 0 +6.933916070e+04 +6.833916070e+04 +6.833916070e+04 -4.7366e-01 -3.4046e+00 +2.2215e+00 +5.3888e-01 -2.0481e+00 -1.9866e+00 -2.3450e+00 -1.0232e+00 -1.4511e+00 +1.9381e+00
309 0 +3.927769891e+04 +3.827769891e+04 +3.827769891e+04 -4.5672e-01 -1.9521e+00 +2.5893e+00 +3.4649e+00 -2.2185e+00 -2.4925e+00 -6.5603e-01 -8.2468e-01 -2.6805e+00 +8.3406e-01
312 0 +2.239889673e+04 +2.139889673e+04 +2.139889673e+04 -2.8374e-01 -1.7306e+00 +2.0016e+00 +3.2342e+00 -1.9372e+00 -1.5286e+00 -2.4555e+00 -2.6473e+00 -7.7143e-01 +3.0081e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt (1.319200000000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +5.677608436e+05 +5.678927636e+05 +5.678927636e+05 -8.4131e-01 -1.2745e+00 -6.6731e-01 +3.7197e-01 +1.2695e-01 -1.1532e-01 -1.0508e+00 -1.5907e-01 -4.8687e-01 -1.6031e-01
4 0 +4.065074481e+05 +4.066393681e+05 +4.066393681e+05 -2.3449e-01 +2.4984e-01 -1.4837e+00 +1.4642e+00 -3.1043e-01 -2.8036e-01 -2.8178e+00 +2.8625e-01 -3.4313e-01 +7.9401e-01
10 0 +3.664792527e+05 +3.666111727e+05 +3.666111727e+05 +3.0158e-02 +3.0271e-02 -1.1524e+00 +8.3528e-01 -1.4744e+00 -3.1729e-01 +6.4666e-01 +2.5823e-01 +4.1505e-01 +3.5517e-01
43 0 +3.003810087e+05 +3.005129287e+05 +3.005129287e+05 +2.7693e-01 +4.0578e-01 -9.0074e-01 -2.4522e-03 -4.0430e+00 -4.9413e-01 -1.0640e+00 -4.0293e-01 +5.5114e-01 -3.8518e-02
49 0 +2.639995808e+05 +2.641315008e+05 +2.641315008e+05 +7.2211e-01 -1.0972e-01 -2.4998e+00 +1.3199e+00 -2.1224e+00 +3.6009e-01 -1.3782e+00 +1.1331e+00 +5.2444e-01 -1.6093e+00
94 0 +1.910783673e+05 +1.912102873e+05 +1.912102873e+05 +5.1996e-01 +2.4891e+00 -3.5729e+00 +1.2977e+00 -4.2810e-01 -6.3474e-01 -4.7860e+00 +3.5116e+00 -2.1566e-01 -1.9376e+00
95 0 +1.748804773e+05 +1.750123973e+05 +1.750123973e+05 +1.1732e+00 +1.8690e+00 -4.1894e+00 +1.5345e+00 -2.0555e+00 -1.6774e+00 -4.0006e+00 +2.8541e+00 -1.6588e+00 +2.2630e+00
210 0 +1.544440711e+05 +1.545759911e+05 +1.545759911e+05 -3.0210e+00 +3.0292e+00 -2.1521e+00 +1.6717e+00 -1.0471e+00 +7.7937e-01 +1.0467e+00 +1.2701e+00 -9.2280e-01 -3.3558e+00
212 0 +9.588167386e+04 +9.601359386e+04 +9.601359386e+04 -3.0631e+00 +2.2430e+00 -1.1571e+00 +3.8384e-01 -3.0607e+00 -6.1961e-01 +1.2544e+00 +3.0769e+00 -1.5773e+00 -3.3889e+00
221 0 +9.538125072e+04 +9.551317072e+04 +9.551317072e+04 -4.0317e-01 +3.3116e+00 -1.5567e+00 +4.7532e-01 -4.8342e+00 +1.2768e+00 -2.2523e+00 +2.7414e+00 -2.1528e+00 -2.2751e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt (5.908400000000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +3.532839661e+04 +3.591923661e+04 +3.591923661e+04 +1.2521e-01 +1.5332e+00 +1.2210e+00 -8.7000e-01 -1.0727e+00 +1.6240e+00 +2.1925e-01 -2.4730e-01 +1.2026e+00 +4.1458e-01
2 0 +3.386347522e+04 +3.445431522e+04 +3.445431522e+04 +2.9946e-01 +1.3657e+00 -8.3949e-01 -2.2672e-01 +7.4596e-02 +1.9659e+00 +1.0565e+00 +1.4322e+00 -2.1008e-01 -3.6365e-01
4 0 +9.934148642e+03 +1.052498864e+04 +1.052498864e+04 -4.1259e-02 +2.2069e-01 +1.7411e-01 +1.0134e-01 +3.6570e-01 -9.2772e-01 +2.0311e-01 +9.9282e-01 -8.4793e-01 +5.1862e-01
29 0 +4.014132499e+02 +9.922532499e+02 +9.922532499e+02 -3.8691e+00 -2.3152e+00 -1.6363e-01 +9.9759e-01 +1.8024e+00 -1.8335e+00 +2.3776e+00 +2.1335e+00 +2.6063e+00 -3.2838e-01
208 0 +2.392301918e+02 +8.300701918e+02 +8.300701918e+02 -2.4095e+00 +1.6563e+00 +4.3312e-02 -1.9559e+00 -1.1303e+00 -4.7155e-01 +1.2301e+00 +1.6501e+00 -9.7240e-01 +3.0540e+00
308 0 +2.155850500e+02 +8.064250500e+02 +8.064250500e+02 +1.9015e-03 +1.4231e+00 +1.5307e+00 -1.9435e+00 +1.6457e-01 -1.1068e+00 +2.9043e+00 +2.7894e+00 +2.9116e+00 -4.0176e-01
316 0 +8.934827919e+01 +6.801882792e+02 +6.801882792e+02 -2.4284e-01 -3.0855e-01 -1.9778e+00 +4.7368e-01 +1.4800e+00 -3.8511e-02 +3.5566e+00 +4.5338e-01 +3.1311e+00 -1.3844e-01
% f evaluations | g evaluations | best noise-free fitness - Fopt (6.749000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +2.860658815e+05 +2.861333715e+05 +2.861333715e+05 -6.7993e-01 -1.5526e+00 -1.7882e-01 -9.7286e-01 -7.0870e-01 +4.0902e-01 -2.2462e-01 +3.3258e-01 +4.2492e-01 -9.7278e-01
2 0 +6.234228189e+04 +6.240977189e+04 +6.240977189e+04 -3.2020e-02 +6.8245e-01 +4.6353e-01 +1.6767e-01 +1.1540e+00 -7.3487e-01 +1.2412e+00 -1.1082e+00 -1.2949e+00 +2.5055e+00
