% f evaluations | g evaluations | best noise-free fitness - Fopt (-5.465000000000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
503 0 +1.181121593e+04 +1.281121593e+04 +1.281121593e+04 +5.7729e-01 -1.1067e+00 +3.4778e+00 -1.5126e+00 +6.2483e-01 +9.8139e-02 -1.8997e+00 -2.0873e+00 +5.9237e-01 +5.3557e-01 -1.2190e+00 -2.5546e+00 +1.2127e+00 -8.7936e-01 -3.7350e+00 +1.0036e+00 -1.3278e+00 -1.1971e+00 -2.2436e+00 +1.8626e+00
1194 0 +3.669462687e+03 +4.669462687e+03 +4.669462687e+03 -7.8880e-02 -1.6723e+00 -1.3545e+00 -3.1544e+00 -9.3397e-01 +8.2049e-01 -1.2853e-01 +1.3819e+00 -1.7129e+00 -1.6236e+00 -1.3968e+00 -3.9407e+00 -2.0290e+00 -7.6571e-02 -7.7957e-01 -1.4871e+00 -2.6927e+00 -2.0379e+00 -1.0053e+00 +1.7122e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt (2.083800000000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +8.493879898e+04 +8.514717898e+04 +8.514717898e+04 +2.2385e-01 -5.9983e-02 +3.2353e-01 +1.1201e+00 +6.8063e-02 -3.0111e-01 +5.0128e-01 -1.0256e+00 +7.3331e-01 +1.1735e+00 -2.0950e+00 -2.2923e-01 -1.6190e+00 +3.9740e-01 -2.9511e-01 -1.9117e+00 +3.5861e-01 +1.5782e-01 -2.5885e+00 -7.2950e-01
2 0 +6.477251730e+04 +6.498089730e+04 +6.498089730e+04 -7.5834e-01 +2.9062e-01 +4.4041e-01 -8.0175e-01 -5.3655e-01 -2.9514e+00 +4.3372e-01 -8.0703e-01 +1.3516e-01 -6.7330e-01 +6.8002e-01 -1.1767e-02 -2.0920e+00 -9.7452e-02 +1.9921e+00 -3.3541e-01 +1.9442e+00 -9.0087e-01 -2.0360e+00 -2.1053e-01
3 0 +6.048988046e+04 +6.069826046e+04 +6.069826046e+04 +1.6195e-01 +2.6977e-01 +1.2951e+00 +1.9302e+00 -7.4193e-01 +7.2212e-01 -2.0578e+00 +4.9452e-01 +1.5323e+00 +1.0835e+00 -3.4152e-01 +1.7503e+00 -3.8062e-01 -3.0990e-01 +6.0683e-01 +6.4081e-01 -4.6766e-01 +1.3933e+00 -2.1619e+00 -3.7119e-01
4 0 +4.403029285e+04 +4.423867285e+04 +4.423867285e+04 +3.9957e-02 -1.2338e+00 +1.9001e+00 -1.2737e+00 +9.1578e-02 -1.8751e+00 -1.3966e+00 -1.3795e+00 +1.5377e+00 +4.9637e-01 -6.7697e-01 -1.2906e-02 +1.4619e-01 -1.1908e-01 -1.4989e-01 -4.8569e-01 +1.5465e+00 -1.8282e-01 -5.5389e-01 -1.0167e+00
8 0 +3.838226053e+04 +3.859064053e+04 +3.859064053e+04 +1.2590e+00 +9.1643e-02 -1.8129e-01 -7.6732e-01 +1.6301e+00 +1.8355e+00 +6.3792e-01 -5.9150e-02 -1.2172e+00 +1.8006e+00 -3.9966e-01 -1.7866e-01 +4.2648e-01 -7.8262e-01 -5.2713e-01 -1.2735e+00 -1.7258e+00 -8.1786e-01 +2.0610e-01 +1.2119e+00
9 0 +3.585721837e+04 +3.606559837e+04 +3.606559837e+04 +1.5899e+00 -1.5592e-01 +1.1697e+00 +1.4296e+00 -8.9116e-01 +6.9683e-01 -1.2436e+00 +6.5129e-02 -9.0060e-01 +1.1186e-01 -1.6480e-01 +7.0338e-01 +8.1461e-01 -9.8062e-01 +4.4121e-01 -1.1106e+00 -5.2879e-01 +4.3034e-01 -4.4011e-02 -1.3103e+00
10 0 +3.191433269e+04 +3.212271269e+04 +3.212271269e+04 -1.4198e+00 -3.1890e-01 +1.6333e+00 +4.0513e-01 +2.1659e+00 +1.0804e+00 +5.3959e-01 -1.0310e+00 +9.5616e-01 -6.5641e-01 +3.1116e-01 +2.6906e-01 +1.1142e+00 +1.0599e+00 +1.4698e+00 +1.0436e+00 -5.7814e-01 +6.0124e-01 -1.2569e-01 +7.0787e-01
