% f evaluations | g evaluations | best noise-free fitness - Fopt (-5.465000000000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
% f evaluations | g evaluations | best noise-free fitness - Fopt (-3.890100000000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +1.174768465e+05 +1.170878365e+05 +1.170878365e+05
2 0 +8.752844146e+04 +8.713943146e+04 +8.713943146e+04
3 0 +4.522634706e+04 +4.483733706e+04 +4.483733706e+04
5 0 +3.711433381e+04 +3.672532381e+04 +3.672532381e+04
984 0 +3.288849942e+04 +3.249948942e+04 +3.249948942e+04
% f evaluations | g evaluations | best noise-free fitness - Fopt (-1.455800000000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +1.339802052e+05 +1.338346252e+05 +1.338346252e+05
2 0 +1.021077026e+05 +1.019621226e+05 +1.019621226e+05
4 0 +8.221686996e+04 +8.207128996e+04 +8.207128996e+04
5 0 +6.701210394e+04 +6.686652394e+04 +6.686652394e+04
11 0 +6.114525799e+04 +6.099967799e+04 +6.099967799e+04
12 0 +4.951448091e+04 +4.936890091e+04 +4.936890091e+04
270 0 +3.466568688e+04 +3.452010688e+04 +3.452010688e+04
