% f evaluations | g evaluations | best noise-free fitness - Fopt (7.135000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
214 0 +4.169710226e+00 +7.042971023e+01 +7.042971023e+01 -7.2557e-01 -3.7914e+00 -1.6999e-01
243 0 +3.886186362e+00 +7.014618636e+01 +7.014618636e+01 -1.1625e+00 -2.0785e+00 +3.6589e-01
% f evaluations | g evaluations | best noise-free fitness - Fopt (-1.386200000000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +3.429421835e+01 -1.043257816e+02 -1.043257816e+02 -2.8631e-01 -1.3835e+00 +1.0889e+00
6 0 +2.929892915e+01 -1.093210708e+02 -1.093210708e+02 -6.7786e-01 -1.1084e-01 -4.4136e-01
10 0 +2.221298454e+01 -1.164070155e+02 -1.164070155e+02 -1.0481e+00 +3.8476e+00 -1.9892e+00
16 0 +5.796922229e+00 -1.328230778e+02 -1.328230778e+02 -2.9590e+00 +1.2477e+00 -1.7693e+00
132 0 +4.426944965e+00 -1.341930550e+02 -1.341930550e+02 +1.3261e+00 -4.3383e+00 -2.0578e-01
147 0 +3.192803351e+00 -1.354271966e+02 -1.354271966e+02 +2.8149e+00 -3.9414e-01 +1.8567e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt (7.313900000000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +8.228374535e+01 +8.136737454e+02 +8.136737454e+02 -1.5282e+00 +9.4953e-01 +9.3459e-01
4 0 +6.384126868e+01 +7.952312687e+02 +7.952312687e+02 +9.6470e-03 -1.3945e+00 -7.7998e-01
5 0 +1.535003218e+01 +7.467400322e+02 +7.467400322e+02 -5.1257e-01 +1.2668e-01 +1.4329e+00
26 0 +9.075662659e+00 +7.404656627e+02 +7.404656627e+02 -4.2959e-01 -1.0822e-01 +3.2300e-01
28 0 +5.725411810e+00 +7.371154118e+02 +7.371154118e+02 -1.9496e+00 -8.6835e-01 +2.2177e-01
206 0 +5.434666854e+00 +7.368246669e+02 +7.368246669e+02 -4.4283e-01 -3.6540e+00 -1.4210e+00
213 0 +1.690556760e+00 +7.330805568e+02 +7.330805568e+02 -8.1931e-02 +1.0414e-03 +2.8788e-01
% f evaluations | g evaluations | best noise-free fitness - Fopt (7.526000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +9.471667299e+01 +1.699766730e+02 +1.699766730e+02 +1.5460e+00 +1.9797e-01 +7.9686e-02
2 0 +5.352273738e+01 +1.287827374e+02 +1.287827374e+02 -1.9531e+00 +1.4587e+00 -8.7180e-01
3 0 +5.089831043e+01 +1.261583104e+02 +1.261583104e+02 -4.2702e-01 -4.3045e-01 +1.7883e+00
4 0 +2.468982315e+01 +9.994982315e+01 +9.994982315e+01 +2.7788e-01 +9.7089e-01 -1.5525e-01
8 0 +5.736850413e+00 +8.099685041e+01 +8.099685041e+01 -3.2580e+00 -4.3979e+00 -2.0086e-01
74 0 +3.108787835e+00 +7.836878783e+01 +7.836878783e+01 -1.1008e+00 +1.4498e+00 +1.9148e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt (-4.913000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +2.339474250e+02 +1.848174250e+02 +1.848174250e+02 -2.9992e+00 -1.4685e+00 -1.7655e-01
2 0 +9.290726690e+01 +4.377726690e+01 +4.377726690e+01 -1.0145e+00 +1.7534e+00 -5.4885e-01
3 0 +4.591719206e+01 -3.212807941e+00 -3.212807941e+00 +5.7999e-01 -1.2348e+00 -1.2788e-01
11 0 +2.247661792e+01 -2.665338208e+01 -2.665338208e+01 +1.6964e+00 +3.4268e-01 -5.3842e-01
36 0 +1.144568577e+01 -3.768431423e+01 -3.768431423e+01 -1.9930e+00 -4.2325e+00 -6.8746e-01
42 0 +9.115396638e+00 -4.001460336e+01 -4.001460336e+01 +4.3636e+00 -2.1187e+00 -1.4636e+00
76 0 +4.416858300e+00 -4.471314170e+01 -4.471314170e+01 -3.2915e+00 +1.1556e+00 +1.2731e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt (-1.418900000000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +3.844408383e+02 +2.425508383e+02 +2.425508383e+02 -1.2721e+00 +4.1591e-01 -1.3033e+00
2 0 +1.315659023e+02 -1.032409765e+01 -1.032409765e+01 -1.0828e-01 -2.2886e-01 -1.0903e-01
4 0 +5.113802075e+01 -9.075197925e+01 -9.075197925e+01 +1.4053e+00 +1.0427e+00 +4.7817e-01
5 0 +2.742634645e+01 -1.144636535e+02 -1.144636535e+02 +2.8710e+00 -2.2823e+00 -1.1406e+00
7 0 +2.100247945e+01 -1.208875206e+02 -1.208875206e+02 -7.4856e-01 -1.5034e+00 +1.8526e+00
11 0 +1.571483507e+01 -1.261751649e+02 -1.261751649e+02 -4.4903e+00 +2.8855e-01 -1.2562e+00
121 0 +1.492243701e+01 -1.269675630e+02 -1.269675630e+02 +2.1050e-01 -2.7075e+00 -2.8226e-01
142 0 +9.954810811e+00 -1.319351892e+02 -1.319351892e+02 +3.6381e+00 -2.2320e-01 +1.7001e+00
284 0 +4.596224112e+00 -1.372937759e+02 -1.372937759e+02 +4.7091e+00 +1.9550e+00 +3.9366e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt (1.095700000000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +5.356450027e+01 +1.631345003e+02 +1.631345003e+02 +7.9569e-01 -8.4619e-01 -6.5625e-03
3 0 +3.768886816e+01 +1.472588682e+02 +1.472588682e+02 +1.8956e+00 +2.7817e-01 +2.1829e-01
10 0 +1.365587813e+01 +1.232258781e+02 +1.232258781e+02 -3.0685e+00 -9.9350e-01 +2.0446e+00
37 0 +1.051475755e+01 +1.200847576e+02 +1.200847576e+02 -4.3089e-01 -2.3508e+00 -9.7901e-01
65 0 +7.366652610e+00 +1.169366526e+02 +1.169366526e+02 -3.2485e+00 -3.3232e+00 -2.6753e-01
185 0 +2.159656118e+00 +1.117296561e+02 +1.117296561e+02 -1.0064e+00 +2.0307e+00 -1.4860e+00
275 0 +3.332515012e-01 +1.099032515e+02 +1.099032515e+02 +1.6769e+00 +7.6081e-01 -4.1227e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt (7.836000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +1.688324539e+02 +2.471924539e+02 +2.471924539e+02 +7.8928e-01 -5.3597e-02 +4.8332e-01
2 0 +2.923554889e+01 +1.075955489e+02 +1.075955489e+02 -1.3004e+00 -1.0665e+00 +6.4350e-01
17 0 +1.343484371e+01 +9.179484371e+01 +9.179484371e+01 -1.8985e+00 +2.9624e+00 +2.7647e+00
68 0 +6.867616860e+00 +8.522761686e+01 +8.522761686e+01 -2.0146e+00 +2.3738e+00 +1.9387e+00
200 0 +4.846424650e+00 +8.320642465e+01 +8.320642465e+01 +9.2391e-01 +1.8400e+00 +2.8447e-01
% f evaluations | g evaluations | best noise-free fitness - Fopt (1.140900000000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +1.714433314e+02 +2.855333314e+02 +2.855333314e+02 -2.0363e+00 +4.3096e-01 +4.7384e-02
2 0 +1.279841688e+01 +1.268884169e+02 +1.268884169e+02 +6.0189e-01 -1.7193e+00 -1.3557e-01
4 0 +1.217260005e+01 +1.262626000e+02 +1.262626000e+02 +1.4096e+00 -1.8230e+00 -1.3654e+00
40 0 +1.063091027e+01 +1.247209103e+02 +1.247209103e+02 +2.3444e+00 +1.0520e+00 -2.2361e+00
115 0 +1.030362646e+01 +1.243936265e+02 +1.243936265e+02 -1.0075e+00 -1.3611e+00 -8.9890e-02
% f evaluations | g evaluations | best noise-free fitness - Fopt (-5.445900000000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +2.393011138e+02 -3.052888862e+02 -3.052888862e+02 +2.5561e+00 +6.9029e-01 +1.0194e+00
2 0 +7.995093847e+01 -4.646390615e+02 -4.646390615e+02 -5.5077e-01 -1.5725e+00 -8.4608e-01
3 0 +3.166119589e+01 -5.129288041e+02 -5.129288041e+02 -8.7636e-01 -1.2033e+00 +9.5697e-01
13 0 +1.108424449e+01 -5.335057555e+02 -5.335057555e+02 +6.1175e-01 +1.4174e+00 -9.2935e-01
30 0 +4.102508341e+00 -5.404874917e+02 -5.404874917e+02 +1.0554e+00 +2.0943e-01 -3.1742e-01
106 0 +2.979782697e+00 -5.416102173e+02 -5.416102173e+02 +2.0995e+00 +2.0140e-01 +2.6794e+00
